"GEO_ID","NAME","P2_001N","P2_002N","P2_003N"
"id","Geographic Area Name"," !!Total:"," !!Total:!!Hispanic or Latino"," !!Total:!!Not Hispanic or Latino:"
"1400000US42101012203","Census Tract 122.03, Philadelphia County, Pennsylvania","658","32","626"
"1400000US42101012204","Census Tract 122.04, Philadelphia County, Pennsylvania","3694","155","3539"
"1400000US42101012501","Census Tract 125.01, Philadelphia County, Pennsylvania","2935","219","2716"
"1400000US42101012502","Census Tract 125.02, Philadelphia County, Pennsylvania","5141","360","4781"
"1400000US42101013100","Census Tract 131, Philadelphia County, Pennsylvania","1709","138","1571"
"1400000US42101013200","Census Tract 132, Philadelphia County, Pennsylvania","3221","259","2962"
"1400000US42101013300","Census Tract 133, Philadelphia County, Pennsylvania","4057","333","3724"
"1400000US42101013401","Census Tract 134.01, Philadelphia County, Pennsylvania","2971","142","2829"
"1400000US42101013402","Census Tract 134.02, Philadelphia County, Pennsylvania","3635","390","3245"
"1400000US42101013500","Census Tract 135, Philadelphia County, Pennsylvania","4252","332","3920"
"1400000US42101013601","Census Tract 136.01, Philadelphia County, Pennsylvania","2911","139","2772"
"1400000US42101013602","Census Tract 136.02, Philadelphia County, Pennsylvania","3776","187","3589"
"1400000US42101013701","Census Tract 137.01, Philadelphia County, Pennsylvania","2122","147","1975"
"1400000US42101013702","Census Tract 137.02, Philadelphia County, Pennsylvania","3913","236","3677"
"1400000US42101013800","Census Tract 138, Philadelphia County, Pennsylvania","2126","146","1980"
"1400000US42101013900","Census Tract 139, Philadelphia County, Pennsylvania","2520","159","2361"
"1400000US42101014000","Census Tract 140, Philadelphia County, Pennsylvania","5456","392","5064"
"1400000US42101014100","Census Tract 141, Philadelphia County, Pennsylvania","3088","439","2649"
"1400000US42101014201","Census Tract 142.01, Philadelphia County, Pennsylvania","3497","274","3223"
"1400000US42101014202","Census Tract 142.02, Philadelphia County, Pennsylvania","2309","173","2136"
"1400000US42101014300","Census Tract 143, Philadelphia County, Pennsylvania","1937","117","1820"
"1400000US42101014400","Census Tract 144, Philadelphia County, Pennsylvania","5111","920","4191"
"1400000US42101014500","Census Tract 145, Philadelphia County, Pennsylvania","2718","433","2285"
"1400000US42101014600","Census Tract 146, Philadelphia County, Pennsylvania","7477","655","6822"
"1400000US42101014700","Census Tract 147, Philadelphia County, Pennsylvania","4781","336","4445"
"1400000US42101014800","Census Tract 148, Philadelphia County, Pennsylvania","1099","88","1011"
"1400000US42101014900","Census Tract 149, Philadelphia County, Pennsylvania","3765","188","3577"
"1400000US42101015101","Census Tract 151.01, Philadelphia County, Pennsylvania","2217","107","2110"
"1400000US42101015102","Census Tract 151.02, Philadelphia County, Pennsylvania","4154","180","3974"
"1400000US42101015200","Census Tract 152, Philadelphia County, Pennsylvania","5509","286","5223"
"1400000US42101015300","Census Tract 153, Philadelphia County, Pennsylvania","7943","560","7383"
"1400000US42101015600","Census Tract 156, Philadelphia County, Pennsylvania","1902","916","986"
"1400000US42101015700","Census Tract 157, Philadelphia County, Pennsylvania","2924","1032","1892"
"1400000US42101015800","Census Tract 158, Philadelphia County, Pennsylvania","6575","408","6167"
"1400000US42101016001","Census Tract 160.01, Philadelphia County, Pennsylvania","2695","174","2521"
"1400000US42101016002","Census Tract 160.02, Philadelphia County, Pennsylvania","4236","325","3911"
"1400000US42101016100","Census Tract 161, Philadelphia County, Pennsylvania","6583","1107","5476"
"1400000US42101016200","Census Tract 162, Philadelphia County, Pennsylvania","2078","1351","727"
"1400000US42101016300","Census Tract 163, Philadelphia County, Pennsylvania","3243","2231","1012"
"1400000US42101016400","Census Tract 164, Philadelphia County, Pennsylvania","4181","2451","1730"
"1400000US42101016500","Census Tract 165, Philadelphia County, Pennsylvania","2477","363","2114"
"1400000US42101016600","Census Tract 166, Philadelphia County, Pennsylvania","1838","186","1652"
"1400000US42101016701","Census Tract 167.01, Philadelphia County, Pennsylvania","2833","145","2688"
"1400000US42101016702","Census Tract 167.02, Philadelphia County, Pennsylvania","2908","149","2759"
"1400000US42101016800","Census Tract 168, Philadelphia County, Pennsylvania","3565","128","3437"
"1400000US42101016901","Census Tract 169.01, Philadelphia County, Pennsylvania","3125","120","3005"
"1400000US42101016902","Census Tract 169.02, Philadelphia County, Pennsylvania","5030","166","4864"
"1400000US42101017000","Census Tract 170, Philadelphia County, Pennsylvania","3126","175","2951"
"1400000US42101017100","Census Tract 171, Philadelphia County, Pennsylvania","3722","158","3564"
"1400000US42101017201","Census Tract 172.01, Philadelphia County, Pennsylvania","2903","102","2801"
"1400000US42101017202","Census Tract 172.02, Philadelphia County, Pennsylvania","3729","151","3578"
"1400000US42101017300","Census Tract 173, Philadelphia County, Pennsylvania","2872","115","2757"
"1400000US42101017400","Census Tract 174, Philadelphia County, Pennsylvania","2307","292","2015"
"1400000US42101017500","Census Tract 175, Philadelphia County, Pennsylvania","6711","4667","2044"
"1400000US42101017601","Census Tract 176.01, Philadelphia County, Pennsylvania","5027","4344","683"
"1400000US42101017602","Census Tract 176.02, Philadelphia County, Pennsylvania","3573","2832","741"
"1400000US42101017701","Census Tract 177.01, Philadelphia County, Pennsylvania","3552","2098","1454"
"1400000US42101017702","Census Tract 177.02, Philadelphia County, Pennsylvania","4582","3372","1210"
"1400000US42101017800","Census Tract 178, Philadelphia County, Pennsylvania","6246","3212","3034"
"1400000US42101017900","Census Tract 179, Philadelphia County, Pennsylvania","6152","2315","3837"
"1400000US42101018001","Census Tract 180.01, Philadelphia County, Pennsylvania","2485","298","2187"
"1400000US42101018002","Census Tract 180.02, Philadelphia County, Pennsylvania","5439","394","5045"
"1400000US42101018300","Census Tract 183, Philadelphia County, Pennsylvania","4326","189","4137"
"1400000US42101018400","Census Tract 184, Philadelphia County, Pennsylvania","2278","96","2182"
"1400000US42101018801","Census Tract 188.01, Philadelphia County, Pennsylvania","4445","2273","2172"
"1400000US42101018802","Census Tract 188.02, Philadelphia County, Pennsylvania","3570","1806","1764"
"1400000US42101019000","Census Tract 190, Philadelphia County, Pennsylvania","7806","4972","2834"
"1400000US42101019100","Census Tract 191, Philadelphia County, Pennsylvania","8237","5455","2782"
"1400000US42101019200","Census Tract 192, Philadelphia County, Pennsylvania","7661","5164","2497"
"1400000US42101019501","Census Tract 195.01, Philadelphia County, Pennsylvania","4689","3925","764"
"1400000US42101019502","Census Tract 195.02, Philadelphia County, Pennsylvania","3494","2870","624"
"1400000US42101019700","Census Tract 197, Philadelphia County, Pennsylvania","6416","4353","2063"
"1400000US42101019800","Census Tract 198, Philadelphia County, Pennsylvania","5763","3709","2054"
"1400000US42101019900","Census Tract 199, Philadelphia County, Pennsylvania","4389","2598","1791"
"1400000US42101020000","Census Tract 200, Philadelphia County, Pennsylvania","1277","139","1138"
"1400000US42101020101","Census Tract 201.01, Philadelphia County, Pennsylvania","3750","261","3489"
"1400000US42101020102","Census Tract 201.02, Philadelphia County, Pennsylvania","3490","228","3262"
"1400000US42101020200","Census Tract 202, Philadelphia County, Pennsylvania","4932","263","4669"
"1400000US42101020300","Census Tract 203, Philadelphia County, Pennsylvania","2786","397","2389"
"1400000US42101020400","Census Tract 204, Philadelphia County, Pennsylvania","3052","172","2880"
"1400000US42101020500","Census Tract 205, Philadelphia County, Pennsylvania","2728","160","2568"
"1400000US42101020600","Census Tract 206, Philadelphia County, Pennsylvania","2043","145","1898"
"1400000US42101020701","Census Tract 207.01, Philadelphia County, Pennsylvania","3863","219","3644"
"1400000US42101020702","Census Tract 207.02, Philadelphia County, Pennsylvania","2464","166","2298"
"1400000US42101020800","Census Tract 208, Philadelphia County, Pennsylvania","2490","165","2325"
"1400000US42101020900","Census Tract 209, Philadelphia County, Pennsylvania","3165","173","2992"
"1400000US42101021000","Census Tract 210, Philadelphia County, Pennsylvania","5470","294","5176"
"1400000US42101021100","Census Tract 211, Philadelphia County, Pennsylvania","2656","190","2466"
"1400000US42101021200","Census Tract 212, Philadelphia County, Pennsylvania","2423","113","2310"
"1400000US42101021300","Census Tract 213, Philadelphia County, Pennsylvania","3573","205","3368"
"1400000US42101021400","Census Tract 214, Philadelphia County, Pennsylvania","4217","258","3959"
"1400000US42101021500","Census Tract 215, Philadelphia County, Pennsylvania","4135","189","3946"
"1400000US42101021600","Census Tract 216, Philadelphia County, Pennsylvania","2251","106","2145"
"1400000US42101021700","Census Tract 217, Philadelphia County, Pennsylvania","5783","318","5465"
"1400000US42101021800","Census Tract 218, Philadelphia County, Pennsylvania","4424","299","4125"
"1400000US42101021900","Census Tract 219, Philadelphia County, Pennsylvania","1492","61","1431"
"1400000US42101022000","Census Tract 220, Philadelphia County, Pennsylvania","1446","30","1416"
"1400000US42101023100","Census Tract 231, Philadelphia County, Pennsylvania","1285","55","1230"
"1400000US42101023500","Census Tract 235, Philadelphia County, Pennsylvania","1108","63","1045"
"1400000US42101023600","Census Tract 236, Philadelphia County, Pennsylvania","2698","115","2583"
"1400000US42101023700","Census Tract 237, Philadelphia County, Pennsylvania","4850","210","4640"
"1400000US42101023800","Census Tract 238, Philadelphia County, Pennsylvania","4441","236","4205"
"1400000US42101023900","Census Tract 239, Philadelphia County, Pennsylvania","1857","121","1736"
"1400000US42101024000","Census Tract 240, Philadelphia County, Pennsylvania","3808","205","3603"
"1400000US42101024100","Census Tract 241, Philadelphia County, Pennsylvania","1343","58","1285"
"1400000US42101024200","Census Tract 242, Philadelphia County, Pennsylvania","4113","195","3918"
"1400000US42101024300","Census Tract 243, Philadelphia County, Pennsylvania","3878","215","3663"
"1400000US42101024400","Census Tract 244, Philadelphia County, Pennsylvania","3152","124","3028"
"1400000US42101024500","Census Tract 245, Philadelphia County, Pennsylvania","4251","203","4048"
"1400000US42101024600","Census Tract 246, Philadelphia County, Pennsylvania","2956","147","2809"
"1400000US42101024700","Census Tract 247, Philadelphia County, Pennsylvania","4489","196","4293"
"1400000US42101024800","Census Tract 248, Philadelphia County, Pennsylvania","1912","63","1849"
"1400000US42101024900","Census Tract 249, Philadelphia County, Pennsylvania","3412","129","3283"
"1400000US42101025200","Census Tract 252, Philadelphia County, Pennsylvania","7267","280","6987"
"1400000US42101025300","Census Tract 253, Philadelphia County, Pennsylvania","3859","135","3724"
"1400000US42101025400","Census Tract 254, Philadelphia County, Pennsylvania","4152","136","4016"
"1400000US42101025500","Census Tract 255, Philadelphia County, Pennsylvania","2667","131","2536"
"1400000US42101025600","Census Tract 256, Philadelphia County, Pennsylvania","2609","120","2489"
"1400000US42101025700","Census Tract 257, Philadelphia County, Pennsylvania","3456","182","3274"
"1400000US42101025800","Census Tract 258, Philadelphia County, Pennsylvania","1663","64","1599"
"1400000US42101025900","Census Tract 259, Philadelphia County, Pennsylvania","4674","97","4577"
"1400000US42101026000","Census Tract 260, Philadelphia County, Pennsylvania","2850","68","2782"
"1400000US42101026100","Census Tract 261, Philadelphia County, Pennsylvania","3060","69","2991"
"1400000US42101026200","Census Tract 262, Philadelphia County, Pennsylvania","4076","95","3981"
"1400000US42101026301","Census Tract 263.01, Philadelphia County, Pennsylvania","3726","84","3642"
"1400000US42101026302","Census Tract 263.02, Philadelphia County, Pennsylvania","5353","149","5204"
"1400000US42101026400","Census Tract 264, Philadelphia County, Pennsylvania","5199","102","5097"
"1400000US42101026500","Census Tract 265, Philadelphia County, Pennsylvania","4285","95","4190"
"1400000US42101026600","Census Tract 266, Philadelphia County, Pennsylvania","6409","134","6275"
"1400000US42101026700","Census Tract 267, Philadelphia County, Pennsylvania","6617","227","6390"
"1400000US42101026800","Census Tract 268, Philadelphia County, Pennsylvania","4651","305","4346"
"1400000US42101026900","Census Tract 269, Philadelphia County, Pennsylvania","2231","188","2043"
"1400000US42101027000","Census Tract 270, Philadelphia County, Pennsylvania","2270","130","2140"
"1400000US42101027100","Census Tract 271, Philadelphia County, Pennsylvania","2353","206","2147"
"1400000US42101027200","Census Tract 272, Philadelphia County, Pennsylvania","4256","402","3854"
"1400000US42101027300","Census Tract 273, Philadelphia County, Pennsylvania","5951","1219","4732"
"1400000US42101027401","Census Tract 274.01, Philadelphia County, Pennsylvania","3298","567","2731"
"1400000US42101027402","Census Tract 274.02, Philadelphia County, Pennsylvania","6499","1237","5262"
"1400000US42101027500","Census Tract 275, Philadelphia County, Pennsylvania","4503","608","3895"
"1400000US42101027600","Census Tract 276, Philadelphia County, Pennsylvania","3546","195","3351"
"1400000US42101027700","Census Tract 277, Philadelphia County, Pennsylvania","4918","162","4756"
"1400000US42101027800","Census Tract 278, Philadelphia County, Pennsylvania","4655","169","4486"
