GEO_ID,NAME,total_pop,white_pop,black_pop,asian_pop,DECENNIALPL2020.P2_data_with_overlays_2021-11-29T140643_NAME,hisp_pop,non_hisp_pop
id,Geographic Area Name, !!Total:, !!Total:!!Population of one race:!!White alone, !!Total:!!Population of one race:!!Black or African American alone, !!Total:!!Population of one race:!!Asian alone,Geographic Area Name, !!Total:!!Hispanic or Latino, !!Total:!!Not Hispanic or Latino:
1400000US42101007000,"Census Tract 70, Philadelphia County, Pennsylvania","3892","86","3534","26","Census Tract 70, Philadelphia County, Pennsylvania","140","3752"
1400000US42101007101,"Census Tract 71.01, Philadelphia County, Pennsylvania","2437","125","2127","34","Census Tract 71.01, Philadelphia County, Pennsylvania","68","2369"
1400000US42101007102,"Census Tract 71.02, Philadelphia County, Pennsylvania","4674","116","4226","19","Census Tract 71.02, Philadelphia County, Pennsylvania","147","4527"
1400000US42101007200,"Census Tract 72, Philadelphia County, Pennsylvania","4502","121","4115","36","Census Tract 72, Philadelphia County, Pennsylvania","121","4381"
1400000US42101007300,"Census Tract 73, Philadelphia County, Pennsylvania","3207","577","2307","75","Census Tract 73, Philadelphia County, Pennsylvania","153","3054"
1400000US42101007400,"Census Tract 74, Philadelphia County, Pennsylvania","4225","515","3251","145","Census Tract 74, Philadelphia County, Pennsylvania","176","4049"
1400000US42101007700,"Census Tract 77, Philadelphia County, Pennsylvania","2302","1041","520","521","Census Tract 77, Philadelphia County, Pennsylvania","139","2163"
1400000US42101007800,"Census Tract 78, Philadelphia County, Pennsylvania","4358","2637","976","282","Census Tract 78, Philadelphia County, Pennsylvania","339","4019"
1400000US42101007900,"Census Tract 79, Philadelphia County, Pennsylvania","4722","2679","1087","405","Census Tract 79, Philadelphia County, Pennsylvania","321","4401"
1400000US42101008000,"Census Tract 80, Philadelphia County, Pennsylvania","3942","1004","2491","96","Census Tract 80, Philadelphia County, Pennsylvania","183","3759"
1400000US42101008101,"Census Tract 81.01, Philadelphia County, Pennsylvania","2715","106","2373","20","Census Tract 81.01, Philadelphia County, Pennsylvania","116","2599"
1400000US42101008102,"Census Tract 81.02, Philadelphia County, Pennsylvania","5034","143","4531","52","Census Tract 81.02, Philadelphia County, Pennsylvania","143","4891"
1400000US42101008200,"Census Tract 82, Philadelphia County, Pennsylvania","6935","113","6365","33","Census Tract 82, Philadelphia County, Pennsylvania","165","6770"
1400000US42101008301,"Census Tract 83.01, Philadelphia County, Pennsylvania","4310","290","3663","98","Census Tract 83.01, Philadelphia County, Pennsylvania","123","4187"
1400000US42101008302,"Census Tract 83.02, Philadelphia County, Pennsylvania","4998","184","4365","122","Census Tract 83.02, Philadelphia County, Pennsylvania","209","4789"
1400000US42101008400,"Census Tract 84, Philadelphia County, Pennsylvania","4611","107","4134","113","Census Tract 84, Philadelphia County, Pennsylvania","175","4436"
1400000US42101008500,"Census Tract 85, Philadelphia County, Pennsylvania","6773","710","5355","233","Census Tract 85, Philadelphia County, Pennsylvania","239","6534"
1400000US42101008601,"Census Tract 86.01, Philadelphia County, Pennsylvania","3212","1615","850","390","Census Tract 86.01, Philadelphia County, Pennsylvania","243","2969"
1400000US42101008602,"Census Tract 86.02, Philadelphia County, Pennsylvania","3452","887","1935","282","Census Tract 86.02, Philadelphia County, Pennsylvania","222","3230"
1400000US42101008701,"Census Tract 87.01, Philadelphia County, Pennsylvania","4347","2260","568","1045","Census Tract 87.01, Philadelphia County, Pennsylvania","314","4033"
1400000US42101008702,"Census Tract 87.02, Philadelphia County, Pennsylvania","3441","1708","326","1048","Census Tract 87.02, Philadelphia County, Pennsylvania","216","3225"
1400000US42101008801,"Census Tract 88.01, Philadelphia County, Pennsylvania","1600","612","144","689","Census Tract 88.01, Philadelphia County, Pennsylvania","136","1464"
1400000US42101008802,"Census Tract 88.02, Philadelphia County, Pennsylvania","6580","2845","844","2140","Census Tract 88.02, Philadelphia County, Pennsylvania","588","5992"
1400000US42101009000,"Census Tract 90, Philadelphia County, Pennsylvania","7694","4783","736","1535","Census Tract 90, Philadelphia County, Pennsylvania","562","7132"
